MPID,year,annual_shares
BIDS,2020,259423065
BIDS,2021,408787860
BIDS,2022,408787860
BIDS,2023,408787860
BIDS,2024,416649165
BIDS,2025,149364795
BLKX,2020,72593070
BLKX,2021,114389080
BLKX,2022,114389080
BLKX,2023,114389080
BLKX,2024,116588870
BLKX,2025,41796010
BLUE,2020,16849041
BLUE,2021,26550004
BLUE,2022,26550004
BLUE,2023,26550004
BLUE,2024,27060581
BLUE,2025,9700963
BNPX,2020,44071995
BNPX,2021,69446780
BNPX,2022,69446780
BNPX,2023,69446780
BNPX,2024,70782295
BNPX,2025,25374785
CGXS,2020,52065783
CGXS,2021,82043052
CGXS,2022,82043052
CGXS,2023,82043052
CGXS,2024,83620803
CGXS,2025,29977269
CODA,2020,18490098
CODA,2021,29135912
CODA,2022,29135912
CODA,2023,29135912
CODA,2024,29696218
CODA,2025,10645814
EBXL,2020,449964405
EBXL,2021,709034820
EBXL,2022,709034820
EBXL,2023,709034820
EBXL,2024,722670105
EBXL,2025,259070415
IATS,2020,120823593
IATS,2021,190388692
IATS,2022,190388692
IATS,2023,190388692
IATS,2024,194050013
IATS,2025,69565099
ICBX,2020,77033913
ICBX,2021,121386772
ICBX,2022,121386772
ICBX,2023,121386772
ICBX,2024,123721133
ICBX,2025,44352859
IEOS,2020,54417
IEOS,2021,85748
IEOS,2022,85748
IEOS,2023,85748
IEOS,2024,87397
IEOS,2025,31331
INCR,2020,1083741219
INCR,2021,1707713436
INCR,2022,1707713436
INCR,2023,1707713436
INCR,2024,1740554079
INCR,2025,623972217
ITGP,2020,124489266
ITGP,2021,196164904
ITGP,2022,196164904
ITGP,2023,196164904
ITGP,2024,199937306
ITGP,2025,71675638
JPBX,2020,122968197
JPBX,2021,193768068
JPBX,2022,193768068
JPBX,2023,193768068
JPBX,2024,197494377
JPBX,2025,70799871
JPMX,2020,669494430
JPMX,2021,1054960920
JPMX,2022,1054960920
JPMX,2023,1054960920
JPMX,2024,1075248630
JPMX,2025,385466490
KCGM,2020,254158971
KCGM,2021,400492924
KCGM,2022,400492924
KCGM,2023,400492924
KCGM,2024,408194711
KCGM,2025,146333953
LATS,2020,357659412
LATS,2021,563584528
LATS,2022,563584528
LATS,2023,563584528
LATS,2024,574422692
LATS,2025,205925116
LMNX,2020,4877862
LMNX,2021,7686328
LMNX,2022,7686328
LMNX,2023,7686328
LMNX,2024,7834142
LMNX,2025,2808466
LQNA,2020,88083600
LQNA,2021,138798400
LQNA,2022,138798400
LQNA,2023,138798400
LQNA,2024,141467600
LQNA,2025,50714800
LQNT,2020,11249700
LQNT,2021,17726800
LQNT,2022,17726800
LQNT,2023,17726800
LQNT,2024,18067700
LQNT,2025,6477100
MLIX,2020,540210660
MLIX,2021,851241040
MLIX,2022,851241040
MLIX,2023,851241040
MLIX,2024,867611060
MLIX,2025,311030380
MSPL,2020,651136200
MSPL,2021,1026032800
MSPL,2022,1026032800
MSPL,2023,1026032800
MSPL,2024,1045764200
MSPL,2025,374896600
MSRP,2020,111661077
MSRP,2021,175950788
MSRP,2022,175950788
MSRP,2023,175950788
MSRP,2024,179334457
MSRP,2025,64289711
MSTX,2020,236428500
MSTX,2021,372554000
MSTX,2022,372554000
MSTX,2023,372554000
MSTX,2024,379718500
MSTX,2025,136125500
ONEC,2020,66332673
ONEC,2021,104524212
ONEC,2022,104524212
ONEC,2023,104524212
ONEC,2024,106534293
ONEC,2025,38191539
PURE,2020,123204378
PURE,2021,194140232
PURE,2022,194140232
PURE,2023,194140232
PURE,2024,197873698
PURE,2025,70935854
SGMT,2020,1054485234
SGMT,2021,1661613096
SGMT,2022,1661613096
SGMT,2023,1661613096
SGMT,2024,1693567194
SGMT,2025,607127862
STFX,2020,245025
STFX,2021,386100
STFX,2022,386100
STFX,2023,386100
STFX,2024,393525
STFX,2025,141075
UBSA,2020,1188355806
UBSA,2021,1872560664
UBSA,2022,1872560664
UBSA,2023,1872560664
UBSA,2024,1908571446
UBSA,2025,684204858
XSTM,2020,185119869
XSTM,2021,291704036
XSTM,2022,291704036
XSTM,2023,291704036
XSTM,2024,297313729
XSTM,2025,106584167
