,share_yes,std,min,max,count
offers_hosted_pool,0.15476190476190477,0.36384981739119415,0.0,1.0,84.0
subscriber_opt_out_capability,0.6901408450704225,0.4657267529901028,0.0,1.0,71.0
internal_trading_allowed,0.7323943661971831,0.44586181327765156,0.0,1.0,71.0
affiliate_access_to_ats,0.7605633802816901,0.42977697646219015,0.0,1.0,71.0
routing_to_affiliate_venue,0.04225352112676056,0.20259880963617724,0.0,1.0,71.0
segmentation_supported,0.7323943661971831,0.44586181327765156,0.0,1.0,71.0
segmentation_customer_flag,0.5070422535211268,0.5035088149780135,0.0,1.0,71.0
segmentation_disclosed,0.8846153846153846,0.3226025390322358,0.0,1.0,52.0
segmentation_uniform,0.8269230769230769,0.3820047143818447,0.0,1.0,52.0
market_data_feed_available,0.8452380952380952,0.36384981739119404,0.0,1.0,84.0
display_to_persons,1.0,0.0,1.0,1.0,71.0
display_procedures_uniform,0.8309859154929577,0.37743175326172723,0.0,1.0,71.0
supports_iois,0.9577464788732394,0.2025988096361772,0.0,1.0,71.0
custom_order_types,0.5595238095238095,0.49942594699786097,0.0,1.0,84.0
ecn_status,0.056338028169014086,0.23221442945580476,0.0,1.0,71.0
