,annual_shares,offers_hosted_pool,subscriber_opt_out_capability,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,segmentation_supported,segmentation_customer_flag,segmentation_disclosed,segmentation_uniform,market_data_feed_available,display_to_persons,display_procedures_uniform,supports_iois,custom_order_types,ecn_status,order_type_complexity
annual_shares,1.0,0.177,-0.046,0.007,-0.007,0.093,0.024,0.315,0.136,0.083,-0.432,,0.173,-0.146,-0.128,0.14,-0.118
offers_hosted_pool,0.177,1.0,-0.541,-0.194,-0.668,-0.106,-0.11,0.135,-0.845,-0.072,0.181,,0.229,0.106,0.403,-0.124,0.269
subscriber_opt_out_capability,-0.046,-0.541,1.0,0.759,0.834,-0.31,0.336,0.287,0.693,-0.262,,,-0.327,0.002,-0.191,0.176,-0.093
internal_trading_allowed,0.007,-0.194,0.759,1.0,0.546,-0.344,0.192,0.336,0.393,-0.008,,,-0.294,0.024,-0.056,0.159,0.088
affiliate_access_to_ats,-0.007,-0.668,0.834,0.546,1.0,0.126,0.47,0.146,1.0,-0.182,,,-0.272,0.04,-0.436,0.147,-0.05
routing_to_affiliate_venue,0.093,-0.106,-0.31,-0.344,0.126,1.0,0.136,-0.207,0.098,0.124,,,0.101,0.047,-0.29,-0.055,0.249
segmentation_supported,0.024,-0.11,0.336,0.192,0.47,0.136,1.0,0.204,,,,,-0.294,0.024,0.082,0.159,0.077
segmentation_customer_flag,0.315,0.135,0.287,0.336,0.146,-0.207,0.204,1.0,-0.348,0.308,,,-0.021,-0.082,-0.033,0.264,0.349
segmentation_disclosed,0.136,-0.845,0.693,0.393,1.0,0.098,,-0.348,1.0,-0.182,,,-0.218,-0.079,-0.267,0.114,-0.39
segmentation_uniform,0.083,-0.072,-0.262,-0.008,-0.182,0.124,,0.308,-0.182,1.0,,,-0.277,-0.1,-0.226,0.145,0.353
market_data_feed_available,-0.432,0.181,,,,,,,,,1.0,,,,0.449,,0.625
display_to_persons,,,,,,,,,,,,,,,,,
display_procedures_uniform,0.173,0.229,-0.327,-0.294,-0.272,0.101,-0.294,-0.021,-0.218,-0.277,,,1.0,0.275,0.138,0.118,0.521
supports_iois,-0.146,0.106,0.002,0.024,0.04,0.047,0.024,-0.082,-0.079,-0.1,,,0.275,1.0,0.139,0.055,0.327
custom_order_types,-0.128,0.403,-0.191,-0.056,-0.436,-0.29,0.082,-0.033,-0.267,-0.226,0.449,,0.138,0.139,1.0,0.188,0.353
ecn_status,0.14,-0.124,0.176,0.159,0.147,-0.055,0.159,0.264,0.114,0.145,,,0.118,0.055,0.188,1.0,0.368
order_type_complexity,-0.118,0.269,-0.093,0.088,-0.05,0.249,0.077,0.349,-0.39,0.353,0.625,,0.521,0.327,0.353,0.368,1.0
